"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Sixty years ago today, the Greensboro Four stood up to injustice by sitting down at a lunch counter. Our journey is… https://t.co/fLcldO9VnD",FALSE,300506,NA,2020-02-01 20:36:40,TRUE,NA,"1223706755693187078",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",46059,FALSE,FALSE,NA,NA
"Kobe was a legend on the court and just getting started in what would have been just as meaningful a second act. To… https://t.co/YlRRr9ng7Q",FALSE,4147300,NA,2020-01-26 21:56:16,TRUE,NA,"1221552460768202756",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",692582,FALSE,FALSE,NA,NA
"Every so often, I re-read Dr. King’s Letter from a Birmingham Jail. While some of the injustices may have changed,… https://t.co/9TxGaZKcaC",FALSE,262400,NA,2020-01-20 14:35:29,TRUE,NA,"1219267208250941440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",53108,FALSE,FALSE,NA,NA
"In every scene, you are my star, @MichelleObama! Happy birthday, baby! https://t.co/hgMBhHasBj",FALSE,2808837,NA,2020-01-17 14:13:19,FALSE,NA,"1218174463046553600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",397955,FALSE,FALSE,NA,NA
"Glad to see American Factory’s Oscar nod for Best Documentary. It’s the kind of story we don’t see often enough and… https://t.co/FSdnLUbNBA",FALSE,131172,NA,2020-01-13 14:13:44,TRUE,NA,"1216725015695183872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",11260,FALSE,FALSE,NA,NA
"Our fellow Americans in Puerto Rico can use our support after this week’s earthquakes. They’ve shown their enduring… https://t.co/qxjRcyT8cR",FALSE,137003,NA,2020-01-12 18:35:50,TRUE,NA,"1216428587328458754",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",31681,FALSE,FALSE,NA,NA
"Here’s the thing: Even with problems of this magnitude, each of us can still find a way to make change. That’s why… https://t.co/K3YYej7d0s",FALSE,38425,"BarackObama",2020-01-09 21:01:14,TRUE,"1215377738858663937","1215378018790707205","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",6540,FALSE,FALSE,NA,NA
"The catastrophic fires in Australia are the latest example of the very real and very urgent consequences of climate… https://t.co/anmhvMTvGz",FALSE,210915,NA,2020-01-09 21:00:08,TRUE,NA,"1215377738858663937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",38253,FALSE,FALSE,NA,NA
"With David Stern’s passing, I’m reflecting on everything he did to take the NBA global, creating entire new generat… https://t.co/lUABFGYPQL",FALSE,86657,NA,2020-01-02 23:49:54,TRUE,NA,"1212883749727158273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",6341,FALSE,FALSE,NA,NA
"Here’s to a happy, healthy, and hopeful 2020. Happy New Year, everybody!",FALSE,1094935,NA,2020-01-01 17:16:44,FALSE,NA,"1212422416716247040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",138565,FALSE,FALSE,NA,NA
"From hip-hop to country to The Boss, here are my songs of the year. If you’re looking for something to keep you com… https://t.co/MGNAUPPgTj",FALSE,448776,NA,2019-12-30 17:02:44,TRUE,NA,"1211694118767738886",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",70409,FALSE,FALSE,NA,NA
